"id","account_id","object_type_id","title","description","is_suspended","period","delta","dates_range","deleted_at","created_at","updated_at"
"79","2","11","Периодическое полугодовое техническое обслуживание (ПТО) ПУИД","Периодическое полугодовое техническое обслуживание (ПТО) ПУИД","0","182","0","[]","2023-04-28 09:12:24","2022-05-27 07:09:12","2023-04-28 09:12:24"
"80","2","10","Демонтаж ВК для замены","Демонтаж ВК для замены другого производителя","0","365","0","[]",NULL,"2022-06-23 09:19:09","2022-06-23 09:19:09"
"81","1","34","ТО ежемесячное Гобо",NULL,"0","30","0","[]",NULL,"2022-10-04 04:44:06","2022-10-04 04:44:06"
"82","1","37","ТО ежемесячное ЭЗС",NULL,"0","30","0","[]",NULL,"2022-12-30 03:09:40","2022-12-30 03:09:40"
"83","2","38","Офисные работы","Вспомогательные работы по содержанию оборудования","0","30","0","[]",NULL,"2023-01-05 11:20:26","2023-01-05 11:20:26"
"84","2","9","Ежеквартальное техническое обслуживание АДМС (ТО-3)","Техническое обслуживание АДМС (ТО-3)","0","90","0","[]",NULL,"2023-01-17 11:00:53","2023-04-28 08:21:50"
"85","2","9","Полугодовое техническое обслуживание АДМС (ТО-4)","Техническое обслуживание АДМС (ТО-4)","0","182","0","[]",NULL,"2023-01-24 09:13:24","2023-04-28 08:21:57"
"86","2","9","Ежегодное техническое обслуживание АДМС (ТО-5)","Техническое обслуживание АДМС (ТО-5)","0","365","0","[]",NULL,"2023-01-24 09:25:35","2023-04-28 08:22:08"
"87","2","10","Ежеквартальное техническое обслуживание ПДВК (ТО-3)","Техническое обслуживание ПДВК (ТО-3)","0","90","0","[]",NULL,"2023-01-24 09:30:58","2023-04-28 08:24:55"
"88","2","10","Полугодовое техническое обслуживание ПДВК (ТО-4)","Техническое обслуживание ПДВК (ТО-4)","0","182","0","[]",NULL,"2023-01-24 09:32:37","2023-04-28 08:25:05"
"89","2","10","Ежегодное техническое обслуживание ПДВК (ТО-5)","Техническое обслуживание ПДВК (ТО-5)","0","365","0","[]",NULL,"2023-01-24 09:33:34","2023-04-28 08:25:15"
"90","2","11","Ежемесячное техническое обслуживание ПУИД (ТО-2)","Техническое обслуживание ПУИД (ТО-2)","0","30","0","[]",NULL,"2023-01-24 09:36:37","2023-04-28 08:25:27"
"91","2","11","Ежеквартальное техническое обслуживание ПУИД (ТО-3)","Техническое обслуживание ПУИД (ТО-3)","0","90","0","[]",NULL,"2023-01-24 09:40:15","2023-04-28 08:25:40"
"92","2","11","Полугодовое техническое обслуживание ПУИД (ТО-4)","Техническое обслуживание ПУИД (ТО-4)","0","182","0","[]",NULL,"2023-01-24 09:41:24","2023-04-28 08:25:52"
"93","1","36","ТО ежемесячное Табло остановочных пунктов (ТОП)",NULL,"0","30","0","[]",NULL,"2023-03-03 09:49:54","2023-03-03 09:49:54"
"94","1","40","ТО ежемесячное измеритель уровня воды",NULL,"0","30","0","[]",NULL,"2023-06-16 03:18:11","2023-06-16 03:18:11"
"95","1","8","ВСТРЕЧА С ЗАКАЗЧИКОМ",NULL,"0","30","0","[]",NULL,"2023-07-05 07:27:37","2023-07-05 07:27:37"
"96","1","8","ЗАПОЛНЕНИЕ ЖУРНАЛОВ, РАБОТА С ДОКУМЕНТАМИ",NULL,"0","30","0","[]",NULL,"2023-07-05 07:27:52","2023-07-05 09:18:33"
"97","1","45","ТО имитация ДПС",NULL,"0","30","0","[]",NULL,"2024-01-05 08:43:12","2024-01-05 08:43:12"
